section_name,section_content
E911 Notice,"As a component of your phone service, you will normally have access to the emergency 911 service at your registered address. Since E911 response can only determine your location by the address we have on record you must contact Sparklight before moving your modem to another address. Additionally, your E911 service will not operate if there is a power outage in your home and the battery backup is not charged or does not last as long as the outage or if your service is interrupted due to network or other technical problems."
Overview Of Our Services,"Economy Service TV Tier: (Basic Tier Availability) The Economy TV Tier is our lowest level of video service. Economy TV includes all available off-air broadcast stations and may include any public educational and government access channels required by local franchise. All such programming varies by community served and is subject to change at any time subject to applicable law. Pursuant to federal law cable customers must subscribe to Economy TV Tier to subscribe to any other video service. Other Services: Where available the following services are optional levels of service above and beyond the Economy TV Tier: Standard TV Tier, Digital Value Pack tier, Premium Services, Hispanic Tier, High-Speed Internet, and Phone. Channel Service Price and Other Changes: Subject to applicable law, Sparklight has the right to change at any time our channels, programming, services, and equipment, with or without notice and with or without adjustments or refunds to prices or charges. Such changes may include, but are not limited to, rearranging, deleting, adding to, or otherwise changing programming, features, offerings, content, functionality, hours of availability, customer equipment requirements, speed, and upstream and downstream rate limitations. Any notice may be provided through your monthly bill, annual notice, newspaper ad, our website, email, or other communication. Continuing to receive services after the change constitutes acceptance of the change. Channel Lineup: A complete listing of our current channel lineup including all programming options and available additional services can be reviewed at https://www. sparklight.com/channel-lineup. Your channel lineup is also available through your on-screen guide. A printed copy is also available at your local cable system office, or you may call us at the number on your bill to obtain a copy. Programming Schedules: Sparklight receives programming from various broadcast and cable networks. Sparklight is not responsible for the content or schedule aired by these networks. Please contact specific cable or broadcast networks directly with your programming complaints or questions. Notification of Programming Changes Within Our Control: Sparklight provides notice to its customers at least thirty (30) days in advance of the deletion of any programming service (if the change is within Sparklight's control) channel assignment changes or rate increases."
How To Use Your Tv Service,"How Sparklight TV Works: How Sparklight TV Works: Sparklight TV is an IP-based TV service that provides cloud- based video programming to residential and business customers. Sparklight TV delivers advanced cable TV features in a simple and convenient app designed to run on popular streaming devices such as Sparklight TV Streaming Devices, Amazon Fire TV, Android TV and Apple TV over Sparklight's reliable fiber-based infrastructure. How to Hook Up Sparklight TV Service: There are several configurations possible to connect your consumer electronics equipment based upon your specific home equipment and your desired results. Sparklight provides detailed step-by- step instructions for each configuration on its website as well as printed brochures which are made available at no cost at each Sparklight office. Please go to the Sparklight TV Quick Start Guide at support.sparklight.com for more connection setups and troubleshooting. Parental Control Features: Sparklight TV has parental controls built-in the app. To access these, go to settings in the app. For more information about parental controls, go to the Sparklight TV Quick Start Guide at support.sparklight. com. Theft of Cable Service: Unauthorized cable hook-up service theft and or tampering with cable equipment is a federal crime that is punishable by fines or imprisonment. [See 47 U.S.C. § 553]. This includes the theft of audio, video, textual data or other services including data transmitted to or from a customer over a system that has interactive capability. Cable theft can also occur when an individual continues to receive Sparklight's cable signal subsequent to termination of service. Watch TV Everywhere: WTVE is a service that provides viewing of select networks via app through your mobile phone, tablet, or computer at any location with an internet signal."
Customer Proprietary Network Information,"If you are a subscriber to Sparklight's phone service, we have access to data known as customer proprietary network information (""CPNI"") which is derived from the provision of this service. CPNI includes information such as the telephone numbers called by a customer; the frequency, duration and timing of such calls; and any optional phone features purchased by the customer such as call waiting. We will not use, disclose or permit access to your CPNI, except in connection with our provision of your phone service and related services such as the publishing of directories unless required by law or with your approval. Please note that we are permitted to use your CPNI to initiate, render, bill and collect for our service; to protect against fraudulent abusive or unlawful use of our service; and to provide inbound telemarketing, referral or administrative services. Additionally, there are several laws such as the Patriot Act and the Communications Assistance for Law Enforcement Act which authorize law enforcement to override our privacy policies and through legal process demand that we provide personal subscriber information and CPNI."
International Phone,Rates are available on our website: https://www.sparklight.com/ phone
Complaint Resolution And Arbitration,"Read the following paragraphs carefully because they require the parties to arbitrate their private disputes and limit the manner in which you can seek relief from Sparklight. Sparklight is committed to providing quality customer service and our policies are intended to follow the Federal Communications Commission's guidelines on customer service. Any time you have a problem with cable, internet or phone service, please call Customer Service at the applicable phone number on page one. Our representatives are available 24/7 (billing support is available during normal weekday business hours only) and will help you or arrange for a technician to address the problem. All efforts will be made by our service technicians and other associates to resolve any complaints concerning the technical quality of service promptly and efficiently. If your problem is not resolved to your satisfaction, please contact your local system manager to obtain corrective action. If your problem is not handled to your satisfaction, you may feel free to contact your regulatory authority. You may contact the FCC or local regulatory authorities. A full list of Sparklight regulatory authorities is available on www.sparklight.com. By accepting service from Sparklight you and Sparklight agree to binding arbitration of any disputes arising from such services or any aspect of your relationship with Sparklight, except that you and Sparklight are NOT required to arbitrate any dispute in which either party seeks equitable relief for the alleged unlawful use of copyrights, trademarks, trade names, logos, trade secrets or patents. ARBITRATION PREVENTS YOU FROM SUING Sparklight IN COURT OR FROM HAVING A JURY TRIAL. You and Sparklight agree that you will notify Sparklight of any dispute within 30 days of when it arises, that you and Sparklight will attempt informal resolution prior to any demand for arbitration, that any arbitration will occur in the city of your nearest Sparklight office and that arbitration will be conducted in accordance with the Rules of the American Arbitration Association (""AAA"") by a single arbitrator selected by the parties or, if we cannot agree on an arbitrator, by the AAA. If it is necessary to file with the AAA to obtain its assistance in appointment of an arbitrator, Sparklight will pay the entire filing fee and will pay all arbitrator's fees. Whether the dispute is heard in arbitration or in court you and Sparklight will not commence against one another or seek a class action class arbitration or other consolidated representative or aggregate action or treatment, but the arbitrator has the authority to grant any other remedy that would be available in court. Visit www.Sparklight.com/ratecard to view your rates."
Children’S Privacy,"Sparklight does not knowingly collect personally identifiable information from children under thirteen years of age to connect and provide Sparklight cable or other services. If as a part of future service offerings, we decide to request personally identifiable information from children under thirteen we will require verifiable parental or guardian consent before we collect this information except in circumstances authorized by law. Sparklight encourages parents and guardians to actively participate in children's online activities and to take measures to protect the online privacy and security of their children. Sparklight supports the use of technologies that help control the collection and use of personal information from children participating in online activities."
Consumer Equipment Notice,"Sparklight TV Streaming Device: Sparklight TV Streaming Device is similar to other Android streaming devices, except the device comes preloaded with the Sparklight TV app (no need to download the app). The Sparklight TV menu has the ability to download other apps through the Google Play store. A streaming device or Sparklight TV compatible device is necessary to watch Sparklight TV programming. For a complete list of compatible devices, go to https://www.sparklight.com/ sparklighttvcompatible-devices. Remote Controls: A remote control is included with the lease of a Sparklight TV Streaming Device at no charge. If you choose to connect to Sparklight TV via your own personal streaming device or Smart TV, you will use the remote control that came with that device. Modems: Sparklight requires customers of its broadband Internet access service or services requiring access to the Sparklight broadband network to connect to its network using a model of modem that Sparklight's research has indicated is compatible with its equipment and services and that does not harm the network. Use of a non-approved modem may be subject to service interruption due to network updates or incompatibility. A DOCSIS 3.1 or higher modem is required to receive nearly all of Sparklight's speed offerings. Although DOCSIS 2.0 modems will operate on Sparklight's network at this time customers may experience substantially slower speeds than advertised. Information regarding approved modem models can be found at support.sparklight.com or by contacting Customer Service at the applicable phone number on page one. The pace of technological change is rapid and due to customer demand and other advancements modem models previously compatible may become obsolete. Sparklight may require customers to replace a non-approved or previously approved modem model with an approved one and reserves the right to discontinue provision of service to any non-approved modem. Customers may choose to lease a modem from Sparklight or purchase an approved model from a retailer. For Gig Internet Speeds: 32-channel Docsis 3.1 modem needed. Actual speeds vary and are subject to equipment limitations. Wi-Fi speeds will be substantially lower. For Cable Modem Internet Speeds of 2 Gig or Higher: Docsis 3.1 modem with ethernet port capacity exceeding 2 Gbps required. Up to 2 Gbps wired download speeds available at the cable modem. Actual speeds may vary and are not guaranteed. Multi-gig equipment, including a multi-gig router, is necessary to experience wired multi-gig speeds. Speeds available over WiFi will be limited by the capabilities of the WiFi router and environmental variables, including size of home, distance of devices from the router, device performance, and thickness of walls. For Fiber Internet Speeds of 2 Gig or Higher: Optical Network Unit (ONU) with ethernet port capacity exceeding 2 Gbps required. Up to 2 Gbps wired download speeds available at the ONU. Actual speeds may vary and are not guaranteed. Multi- gig equipment, including a multi-gig router, is necessary to experience wired multi-gig speeds. Speeds available over WiFi will be limited by the capabilities of the WiFi router and environmental variables, including size of home, distance of devices from the router, device performance, and thickness of walls. Information regarding approved modem/router models can be found by contacting Customer Service at the applicable phone number on page one. The pace of technological change is rapid and due to customer demand and other advancements, modem models previously compatible may become obsolete. Sparklight may require customers to replace a non-approved or previously approved modem model with an approved one and reserves the right to discontinue provision of service to any non-approved modem. Customers may choose to lease a modem from Sparklight or purchase an approved model from a retailer."
Online Marketing,"Sparklight's marketing goal is to make its advertisements for its goods and services more relevant to each individual subscriber. To accomplish that Sparklight uses an array of tools designed to give us more information which will permit us to send you advertisements tailored to your interests. We collect information such as your visits to websites and the personal information you voluntarily provided to us, and we work with third party companies that help us gather non-personal information as well as facilitate the use of such information in the form of targeted advertisements. They use cookies, web beacons and other ever- changing technological tools to help us better understand all our customers and provide a positive marketing experience. Even when using third party agencies in this way we do not provide them with any of your personally identifiable information."
Alternative Battery Backup,"Telephony multimedia terminal adaptors (MTA) and FTTH rely on electrical power to operate. Without a battery backup or alternate backup source such as a generator, you will not be able to make any calls, including emergency calls to 911, in a power outage. During a power outage, many subscribers must rely on a battery backup, or an uninterruptible power supply (""UPS""), to ensure that their service will continue to operate. Customers who wish to use an alternative battery backup solution for an extended battery backup period can purchase UPS from many brick-and-mortar and online retailers. APC Model SMX750C, Smart UPS X, 750VA, Rack/Tower convertible 2U, 120V UPS www.apc.com/us/en/product/ SMX750C. APC Model SMX48RMBP2U, Smart-UPS X-Series 48V External Battery Pack Rack/Tower www.apc.com/us/en/product/ SMX48RMBP2U. (Both units are required for 24 hours of coverage)"
Open Internet Policies And Fcc Mandated Disclosure Statement,"The FCC requires Sparklight to provide information regarding its mass market retail broadband Internet access services, including information regarding any network management practices that it employs, the performance characteristics of its services and the commercial terms of its service offerings. A copy of Sparklight's Open Internet Disclosure Statement containing such information can be found on our website at: https://www.sparklight.com/legal/open-internet. This disclosure incorporates and includes by reference Sparklight's ""Acceptable Use Policy"" (""AUP"") available at: https://www.sparklight.com/legal/acceptable-use-policy and its ""Terms of Service"" available at https://www. sparklight.com/legal. Sparklight reserves the right to alter its policies and network management practices and the information contained in this Internet Disclosure Statement may change from time to time. Sparklight will post on its website any material changes to its policies."
No Call List – Do Not Call Registry,"The Federal Communications Commission requires that telephone companies remind you of the opportunity to sign up for the national Do-Not- Call list. There is a national registry that all consumers may ""give or revoke an objection to receiving telephone solicitations."" If you would prefer not to receive calls from commercial solicitors, you may call 1-888-382-1222 (or 1-866-290-4236 for TTY access) to register your phone number. The Internet web address for registration is www.donotcall.gov. The registry will NOT prevent calls from non-profit organizations for fundraising purposes, political calls or from companies with whom consumers have established a business relationship. To opt out of Sparklight's sales and marketing calls and/or materials, a customer may call a Sparklight associate at 1-855-425-6161 to have their information added to the internal no call list."
Privacy Notice,"To provide you with the best Sparklight services including cable television, digital cable Internet services and phone services we collect and keep on file certain information about our subscribers. This notice will tell you what information we collect, how we use it and how you can help us make sure it is correct. In this Privacy Notice the terms ""subscriber"" or ""you"" refer to customers of our Sparklight cable or other services. The terms ""Sparklight,"" ""we,"" ""our"" or ""us"" refer to Cable One, Inc. DBA Sparklight and the cable television system in your local area."
Use Of Collected Information,"Under federal law we may not use our cable system to collect personally identifiable information about you without your consent except to obtain information necessary to provide you with cable or other services and/or to help us detect unauthorized reception of communications over the cable system. For example, when you interact with certain Sparklight services the cable system may automatically collect certain information on your use of that service. Most of this information is not personally identifiable and such information is generally used to carry out your particular request. This may include your choice of designated channel menu selections or service offerings such as On Demand or pay per view programming. These selections may be linked to your personally identifiable information already stored on our system so we can confirm your entry or transaction and/or confirm proper billing for the selection. We use the information we collect to make sure you receive the services you subscribe to; to send your bills and credit you for payments; to send you program or service listings, new product or service offerings, special announcements and other information we think you may want; to provide and enhance our services; to respond promptly to your questions, complaints and requests for changes in service; for our own tax and accounting purposes; to help anticipate, identify and resolve any service or maintenance problems; to protect the security of our equipment and services; to ensure compliance with applicable laws and compliance with applicable subscriber agreements, policies and terms of service; and to prevent the unauthorized reception of service. We may also collect and use aggregate non-personal information about our subscribers. This information does not identify individual subscribers. We may combine this aggregate data with our subscriber records. Among other things aggregate nonpersonal information is used to help refine our programming offerings and tailor marketing messages to particular interests."
